review	label	textblob_predicted_label
If you are among the IMDB audience that put High Fidelity in the all-time top 200, then this movie probably is NOT for you. This film is as unhip as Steve Frears is self-consciously hip. Renee Zellweger is excellent as a hip urbane magazine writer who returns to her suburban Bucks County nest in order to care for mother Streep (who delivers yet another hall-of-fame performance). William Hurt is ideally cast and the feckless, faithless, and egotistical husband. If this movie doesn't move you to cry and laugh, then you are much too hip to enjoy it.	positive	positive
With Harry Callahan getting up in years, the inevitable `old man with a chip on his shoulder' story had to come into play eventually. Callahan, looking fragile sometimes and out of place, his demeanor still was unwavering. Thankfully, this film took some time off to develop a different type of story, one that might reinvent the Dirty Harry and the whole genre. While the film fell short in doing so, it was still an excellent addition to the series, even if it was getting a little out of place during a time of silly fashion trends and New Wave music.	positive	positive
Did Sandra (yes, she must have) know we would still be here for her some nine years later?<br /><br />See it if you haven't, again if you have; see her live while you can.	positive	positive
'In April 1946, the University of Chicago agreed to operate Argonne National Laboratory, with an association of Midwestern universities offering to sponsor the research. Argonne thereby became the first 'national' laboratory. It did not, however, remain at its original location in the Argonne forest. In 1947, it moved farther west from the 'Windy City' to a new site on Illinois farmland. When Alvin Weinberg visited Argonne's director, Walter Zinn, in 1947, he asked him what kind of reactor was to be built at the new site. When Zinn described a heavy-water reactor operating at one-tenth the power of the Materials Testing Reactor under design at Oak Ridge, Weinberg joked it would be simpler if Zinn took the Oak Ridge design and operated the Materials Testing Reactor at one-tenth capacity. The joke proved unintentionally prophetic.'<br /><br />The S-50 plant used convection to separate the isotopes in thousands of tall columns. It was built next to the K-25 power plant, which provided the necessary steam. Much less efficient than K-25, the S-50 plant was torn down after the war.<br /><br />Concerned that the Atomic Energy Commission research program might become too academic, Lilienthal established a committee of industrial advisers, and during a November visit to Oak Ridge, he discussed with Clark Center, manager of Carbide & Carbon, a subsidiary of Union Carbide Corporation at Oak Ridge, the possibility of the company assuming management of the Laboratory.<br /><br />Prince Henry (of Prussia) Arriving in Washington and Visiting the German Embassy (1902). Evidently, with Prince Henry of Prussia according to the principles of science and its dangers their were already concerns with the applications of new science with military applications. The Hohenzollern (1902/II), 'Kaiser Wilhelm's splendid yacht at the 34th St. Pier, New York. Taken at the exact moment of Prince Henry's arrival, and the raising of the royal standard.' If Royalty knew of these necessary precautions to citizen welfare then what was the necessity of the warfare WWI and WWII. The quality of management control I presume?<br /><br />Thus, did the commandos of Operation Swallow volunteer for a military mission, or a business plan, based on the security principles of Laboratory management? Because supposedly their were no survivors, and the ones who were caught in Europe ordered to be executed. Of the 400 man commando team the survivors who were captured were executed under orders of the German Army against subversion, and espionage acts of the State of Germany. <br /><br />The Führer No. 003830/42 g. Kdos. OKW/WFSt, Führer HQ, 18 Oct. 1942, (signed) Adolph Hitler; Translation of Document no. 498-PS, Office of U.S. Chief of Counsel, certified true copy Kipp Major, declassified DOD 5200.30 March 23, 1983, reproduced at the U.S. National Archives.<br /><br />The OSS Society® 6723 Whittier Ave., 200 McLean, VA 22101	positive	positive
THE ITALIAN is an astonishingly accomplished film for its time. Stunningly shot, with lighting effects that are truly sublime, this is an early gem that clearly reveals REGINALD BARKER to be a pioneer director of equal standing to D.W. GRIFFITH and MAURICE TOURNEUR. How much control Thomas Ince exerted over the production is hard to know, but this film still has extraordinary power. The simple story of an Italian immigrant struggling to keep his family alive in New York, is very moving. The themes of social injustice, revenge and forgiveness are completely relevant today. The use of close-ups is outstanding and the powerhouse performance of GEORGE BEBAN is electrifying. What we need now is a really good print transferred to DVD so we can truly appreciate this early masterpiece of cinema.	positive	positive
Saw this my last day at the festival, and was glad I stuck around that extra couple of days. Poetic, moving, and most surprisingly, funny, in it's own strange way. It's so rare to see directors working in this style who are able to find true strangeness and humor in a hyper-realistic world, without seeming precious, or upsetting the balance. Manages to seem both improvised, yet completely controlled. It I hesitate to make comparisons, because these filmmakers have really digested their influences (Cassavetes, Malick, Loach, Altman...the usual suspects) and found their own unique style, but if you like modern directors in this tradition (Lynne Ramsay, David Gordon Greene), you're in for a real treat. This is a wonderful film, and I hope more people get to see it. If this film plays in a festival in your city, go! go! go!	positive	positive
I bought this while I was playing chess in Hastings. I am from Denmark though. It is very good. Definitely with an understanding of the horror genre. The monster towards the end is very scary. People who criticise this on IMDB should recall that it was a huge succes among serious horror critics.<br /><br />	positive	positive
Holes is a wonderful film to see. It has good messages in in, such as: be a good friend, never give up, etc. I highly recommend it to anyone. I still say the book is better than the movie, but the movie gives the book a run for its money. Also, Khleo Thomas plays Zero. That really adds to it!!!! Lol!!!	positive	positive
The first collaboration between Schoedsack & Cooper is a compelling documentary on the migration of the Bakhtiari tribe of Persia. Twice a year, more than 50,000 people and half a million animals cross rivers and mountains to get to pasture. You'll feel like a pampered weakling after watching these people herd their animals through ice cold water and walk barefoot through the snow to cross the mountains while trying to get their animals to walk along steep and narrow mountain paths.	positive	positive
I'm certain that people from USA don't know anything about the rest of the world, but I think they mustn't talk about what they don't know. And they must remember that the rest of the world is not as hypocrite as the USA. The only places where consented sex between teenagers are illegal are the USA and Islamic nations. In France, for instance, the age of consent is 15. In Brazil it's 14. In Spain it's 12. So the teenagers actors, 16 and 17 years old by the time of production, aren't doing anything illegal. Nudity isn't considered big deal in almost all civilized countries. And only a freak could consider a teenagers' love as child molestation.	positive	positive
Dan Burgess is a nice guy. He happens to be a Christian. Dan can't get a date with a girl and thinks that all of his friends are having all of the fun. He is constantly being bothered by non-believers and being made fun of.<br /><br />Dan prays one night, and wishes he was never a believer in Jesus.<br /><br />His prayer is answered for one day. Things get hairy from there. An angel appears to Dan and explains his prayer is granted.<br /><br />So, all of the impact that Dan has had on starting a Christian club.<br /><br />He be-friends Scot Parks and making a difference, is erased for one day.<br /><br />Dan's eyes are opened. His life really did make a difference.	positive	positive
This story takes place in Wisconsin. I was half heartedly watching my tape when I heard the name Appleton. I wasn't sure where it was taking place until I heard them say Green Bay & then I figured it was Wisconsin. Watching further confirmed it.<br /><br />Anxiously awaiting the outcome I could really feel Corrine's frustration. I did not know it was based on fact until the end. It left me glad but sad and wanting to know more.	positive	positive
I've watched this movie a number of times, and found it to be very good. This movie is also known as 'Castle Of Terror', 'Coffin Of Terror', and 'Dance Macabre'. Barbara Steele, is her usual beautiful/creepy self. George Riviere, the male lead, does a good job with his role. The whole movie is dripping with atmosphere, and there is a good deal of tension throughout. The camera angles are good and the acting, for the most part, isn't bad. This film is quite suitable for a rainy day or evening. I have the DVD uncut version, which is far superior to the edited TV version. Grab some popcorn, turn out the lights, settle back and enjoy. John R. Tracy	positive	positive
This was one of my favorites as a child. My family had the 8-track tape soundtrack!! It took us years (until I was in my 20s) for us to get a video of the movie (my dad taped it from HBO or something). Every summer when we go to the beach (my mom, brother, sister and I) we lay on the beach and sing all the songs from this movie!!! LOVED IT!!!	positive	positive
A longtime fan of Bette Midler, I must say her recorded live concerts are my favorites. Bette thrills us with her jokes and brings us to tears with her ballads. A literal rainbow of emotion and talent, Bette shows us her best from her solid repertoire, as well as new songs from the 'Bette of Roses' album. Spanning generations of people she offers something for everyone. The one and only Divine Diva proves here that she is the most intensely talented performer around.	positive	positive
Kurt Russell is at his best as the man who lives off his past glories, Reno Hightower. Robin Williams is his polar opposite in a rare low key performance as Jack Dundee. He dropped the Big Pass in more ways than one.<br /><br />You'll see some of the most quotable scenes ever put into one film, as Jack hisses at a rat, Reno poses, and the call of the caribou goes out.<br /><br />Don't miss this classic that isn't scared to show football in the mud the way it should be played (note to the NFL).	positive	positive
I'm Egyptian. I have a green card. I have been living in the US since 1991. I have a very common Arabic name. I'm married (non-American but non-Egyptian, non-Arab wife). I have children who are born in the US. I have a PhD in Cell Biology from the US and I travel for conferences. I make 6 figure income and I own a home in the Washington, DC area. I pay my taxes and outside 1 or 2 parking tickets I have no blemish on my record since I came to this country in 1991. I look more Egyptian than the Ibrahimi character but my spoken English is as good as his.<br /><br />A couple of months ago I was returning from a conference/company business in Spain through Munich Germany to Washington, DC (Home). I was picked up in Munich airport by a German officer as soon as I got off the Madrid plane. He was waiting for me. He was about to start interrogating me until I simply told him 'I have no business in Germany, I'm just passing through'. He had let me go with the utmost disappointment. That was nothing compared to what happened at Washington, Dulles airport (Which was not nearly as bad as what happened to Ibrahimi in the movie). The customs officer asked me a couple of questions about the length and purpose of my trip. He then wrote a letter C on my custom declaration form and let me go. After I picked up my checked bag I was stopped at the last exit point (Some Homeland Security crap). I sat there for 3 hours along with many different people of many different nationalities. I was not told the reason for my detainment. I was not allowed to use my phone or ANY other phone. I was feisty at first asking to be told of the reason or let me go but decided to suck it up and just wait and see. I asked if I can call my wife to tell her that I'm going to be late but was told no. When I tried to use my phone and as soon as my wife said 'hello', an officer yanked the phone out of hand and threatened me to confiscate it. When I asked about needing to call home because my family is waiting, they said 'Three hours is nothing, we will make contact after 5 hours'. When I asked to use the bathroom, an officer accompanied me there. It toilet was funny; I guess it was a prison style toilet that is all metal with no toilet seat. Finally, they called my name and gave me my passport/green card and said you can go. I asked what the problem was, they said 'nothing'!! I know it was only 3 hours but I was dead tired and wanted to go home to see my wife and kids.<br /><br />As for the movie, it was very well made. Unlike most movies that involve Arabs and use non-Arab actors who just speak gibberish, this movie the Arabic was 100% correct. I assume the country is Morocco (North Africa).	positive	positive
Just before dawn is an underrated horror film from the early eighties. I haven't seen it in years but it had a great impact when I watched it, quite original for its day, the only problem is that it has not been released on video or dvd for years. If you like horror I urge you to check this little gem out!!	positive	positive
I thought this was a quiet good movie. It was fun to watch it. What I liked best where the 'Outtakes' at the end of the movie. They were GREAT.	positive	positive
Golden Boy is ecchi humor (bordering on hentai) in the guise of 'educational moments.' The main character, Kintaro, wanders around getting himself into the silliest situations involving women... It's just that he's shy on the surface but analyses everything until he can learn something from it. The most striking feature of the series are the circumstances surrounding his 'education', which are outright embarrassing, yet funny at the same time.	positive	positive
Millions in gold is traveling by train to the US treasury. Traveling along is Lois Lane to report on it. Along the way the train is attacked by masked thieves. They detach the car with the armed guards in it and attack the remaining ones. This leads to a vicious fight between the remaining guards and the thieves. The thieves overpower them but then Lois Lane jumps in. She beats the thieves off the train (at one point using a gun) but the train starts to careen out of control. Lois can't stop it and the thieves will stop at nothing to get the gold. Good thing Superman is on the way!<br /><br />Fast, exciting, non-stop action. Probably one of the best of all the cartoons. Just great.	positive	positive
Until I saw this special on HBO, I had never heard of Eddie Izzard. I sure am glad that I have now! He is one of the funniest comedians I have ever seen! Rarely has a comedian immersed himself so completely in his craft then Eddie. I could not stop laughing for the entire show. If you like to laugh you HAVE to see this special!	positive	positive
This show is awesome! and I've seen it about 6 times.<br /><br />Granted it may be lacking in educational content as some people like those sort of movies, but I think it's great, very funny and excellently written!	positive	positive
When I saw this on TV I was nervous...whats if they messed it up? Millions of families like mine that live with a brain damaged man, in my case my Dad, would be let down. I watched it with my Mum and we both ended up crying, it was so accurate and captured how the family feels as well as the person having suffered the brain injury. The actors were all wonderful and I had no complaints, my Mums told me she hasn't been able to stop thinking about it. I hope this program made many people aware of what it's like living with brain damage and what it's like for the families. More programs like this should be made, I was surprised at how good it was and it's really shook me up emotionally.	positive	positive
Seriously, I don´t really get why people here are bashing it. I mean,<br /><br />the idea of a killer snowman wreaking havoc on a tropical island paradise is pretty absurd. The good news is, the producers realized it and made it a comedy in the vein of Army of Darkness. <br /><br />Especially in the second half of the film, when the little killer snowballs attack, I laughed my ass off. For example, the put one of the little creeps into a blender (a la Gremlins 1) and mix it. After that, it morphs back into a snowball and squeals with a high pitched voice 'That was fun!'.<br /><br />Bottom line - incredible movie, rent it.	positive	positive
I have to say I quite enjoyed Soldier. Russell was very good as this trained psychopath rediscovering his humanity. Very watchable and nowhere near as bad as I'd been led to believe. Yes it has problems but provides its share of entertainment.	positive	positive
Very intelligent language usage of Ali, which you musn't miss! In one word: (eeh sentence...) Wicked, so keep it real and pass it on!	positive	positive
Spoiler This movie is about such a concept. Williams will go to any low in order to replay the football game that haunts his life. Russel plays the ex jock who peaked in high school. Finally the under dog get its shot, and Williams can save face, instead of being the clown. A great reverse tragedy. 7/10	positive	positive
This has got to be the best movie I've seen. You definately have to watch it more than once to find all of the humor and twists. I'm no fan of George Clooney, but he shines here. The real performance comes from Tim Blake Nelson and John Turturro as Pete and Delmar. One of the few movies that I own.	positive	positive
'The Kennel Murder Case' starts off at a run and doesn't stop until the very end. Everybody had reason to kill the victim, and several people tried. William Powell is terrific as Philo Vance, gentleman detective. Mary Astor is refreshing as the put-upon niece who only wants to marry her Scottish gentleman and enjoy her inheritance. This movie comes paired with 'Nancy Drew, Reporter' on DVD, which is also fun. If you have to rent the disc (or check it out from your local library), do it. It's pure entertainment!	positive	positive
'Foxes' is one movie I remember for it's portrayal of teenagers in the late 1970's. As I am exactly Jodie Foster's age, I related to this movie. It deals with the frustrations, temptations, relationships & rebellion of youth. The soundtrack is great with inspiring rock eg. 'More Than a Feeling' by Boston and sad numbers like 'On the Radio' by Donna Summer. The music of my late teens. Yep, I'll always remember this one, even if it wasn't huge.	positive	positive
To quote Flik, that was my reaction exactly: Wow...you're perfect! This is the best movie! I think I can even say it's become my favorite movie ever, even. Wow. I tell you what, wow.	positive	positive
The film notes describe the main role family, as Turkish immigrants which living in Denmark. However, it is so clear to understand that the fact is, the behavior and the culture point the family is absolute Kurdish. Similar social pressures and even cultural murders keep going on Turkey today on Kurdish ethnicity societies. What a worry...<br /><br />It is widely accepted issue in Turkey today, the Kurdish immigrants living in European Countries today, which have moved from Turkey at 70's are culturally connected to the feudal moral laws system, by growing daughters and women under pressure, are giving harm to the Turkish International Image. Also, as same as widely accepted another issue is the Turkish or Kurdish immigrants on these countries are the reason negative aim about the Community Europe Nominee.	positive	positive
Galaxy Express 999 (Ginga tetsudô Three-Nine). Made in 1979. Directed by Rintaro. Based on the original work by Leiji Matsumoto.<br /><br />What little I know of the history of GALAXY EXPRESS 999, it was first published as a popular manga in 1970's and was created by Leiji Matsumoto. GE999 is set in the same Star Wars-type of space universe as Matsumoto's other famous space manga: CAPTAIN HARLOCK. In fact space pirate Harlock and other characters from that manga (including Queen Emeraldas and Tochirô Oyama) make appearances in GE999. GE999 was a success as a manga and was soon followed by also popular anime series which included over 100 episodes. It was aired in 1978. A year later came this anime film, which isn't a sequel to the series, but summaries the main points of the story in two hours long movie. <br /><br />The story is set in unidentified Star Wars-type of future where journeying to different planets has become a possibility. People of the future can have themselves mechanical bodies in which they can live hundreds of years, maybe even forever. The protagonist, Tetsurô Hoshino, is a young boy who witnesses how a cruel Count Mecha, whose entire body is made of mechanical parts, kills Tetsurô's mother. Tetsurô swears revenge and is convinced that he can only achieve it by having a mechanical body. To obtain it he must travel to a far-away planet with space train Galaxy Express 999. However, since Tetsurô comes from poverty, he has no money to obtain the expensive ticket. By a chance coincidence he meets a beautiful young woman, Maetel, who bears a resemblance to his dead mother. Maetel offers a ticket for Tetsurô on a condition that she accompanies him on his journey. And so the journey begins<br /><br />I first saw this film last October, about six months from now, and again yesterday. I feel that I must first tell about the thing that bothered me the most in this film: it seems very rushed. Then again what can you expect from 2 hours long movie that tries to tell the main points of over 100 episodes long series? Whatever the case, the situations change with a fast speed and Tetsurô meets other important characters in the story mostly by pure chance. I feel makers should have either left something out or include extra 30 minutes. <br /><br />However, there's no arguing that GE999 has deserved its place as an anime classic. The animation itself, very faithful to the style of Matsumoto's manga, is detailed and beautiful to watch. Even after almost 30 years of its release the animation has not become 'out of date' but puts many later anime films in shame. The music through out the film is enjoyable to listen even if somewhat 'old' these day (it was the 70's after all). I have not heard any English dub of this film so I can only comment the Japanese audio which is good. Voice actors give life to their characters, most memorable ones being Masako Nozawa (mainly known as the voice of Goku through out the entire Dragon Ball saga) as the excited and young Tetsurô, and Masako Ikeda as the calm and mysterious Maetel. The supporting characters are not left in shadows, but also have a life of their own, most memorable to me being waitress Claire. <br /><br />The story itself is suitable for both those who are looking for an entertainment for couple of hours, as well as for those who try to find deeper messages. GE999 is an entertaining adventure film but can also be seen as Tetsurô's journey from boyhood to manhood. The whole film is told from his point of view, so we are forced to feel what he feels. I think many people can relate to Tetsurô, for despite the fantasy elements, he is a very realistic character: young, hot headed, awkward and naive. We follow him as he starts to see differences between humans and machines and come to conclusion whether he wants the mechanical body or not. Maetel on the other hand stays as a mystery in the film and even in the end, when she reveals who and what she really is, it doesn't much answer to anything. Maetel can be seen as a dream of a growing young man, always close but just out of reach. <br /><br />It's is the strange yet beautiful relationship between Tetsurô and Maetel that still awakes talking and questions, and fascinates after the decades. People have argued if their relationship is that of a two friends, of mother and son, or of two possible lovers (which wakes a lot of critique since Maetel's age is unknown and Tetsurô hasn't even reached his puberty yet). Without any means to sound deep, I think the best term to describe them is 'soul mates'. There is no question that the two feel devotion, caring and love for each others, yet it goes beyond that of friendship, family and lovers. I think that if their relationship would be stuffed in any of those categories, it would take something out of the whole film and of the characters. The ending scene, even if you already know what is going to happen, is still very touching and memorable.<br /><br />All in all, despite the rushing of plot and some corny scenes, GALAXY EXPRESS 999 holds its place as an anime classic amongst the films like Katsuhiro Otomo's AKIRA (1988) and Mamoru Oshii's GHOST IN THE SHELL (1995). The film is directed by Rintaro, who had previous experience of Leiji Matsumoto's works as he had worked in CAPTAIN HARLOCK series. Later Rinatro directed a wonderful looking METROPOLIS (2001) that also questions the difference between humans and machines. <br /><br />GALAXY EXPRESS 999 (1979) is a classic that should be seen at least once by every anime fan.	positive	positive
When an orphanage manager goes on vacation, his father takes over the details of the center and winds up renting the kids. When a well off, got it made couple with a nice apartment and great life get the notion to adopt this idea was tailor made for them. Why would they want to spoil their elegant existence with a trio of hairbrained carpet creepers? No way would people like these two need kids to make life wonderful. This movie makes it look like the real world works this way, but I am the picture of dubiety.	positive	positive
This is an EXCELLENT example of early Bette Davis talent. The production is above average for 1936 timeframe. I cannot understand why the owners of the rights to this film have not put it on DVD. Owners, PLEASE PLEASE release it. I would buy it immediately. I have not seen it in more than thirty years, on television, but remember it well.	positive	positive
Thomas Capano was not Anne Marie's boss Tom Carper, the Governor was. That is the reason the Feds became involved, he called Clinton and asked him to get the Feds involved in the case. I lived outside of Philadelphia at the time so the case was front page news every day. I also read Ann Rule's book and saw the 'City Confidential' segment on A&E. Tom Capano was a megalomanic(sp.), an uber-controller and a monster. He claimed to love Ann Marie but all he wanted was someone that he could control. When she wouldn't let him do that anymore he killed her, the ultimate form of control. I think it's a waste of money that he is still alive.	positive	positive
Strangely, this version of OPEN YOUR EYES is more mature and more nuanced. Aided by hindsight, Crowe's screenplay is a lot tighter and more fleshed out than Amenabar's original. The Spanish filmmaker should get credit for thinking of the story first, but there's no doubt that Crowe has improved on it -- if just slightly. Notice that you have no idea what the lead did in OPEN YOUR EYES, but you know almost everything about the lead in VANILLA SKY. That's what i mean by more 'fleshed out.'	positive	positive
I would never have thought I would almost cry viewing one minute excerpted from a 1920 black and white movie without sound. Thanks to Martin Scorsese I did (the movie was from F. Borzage). You will start to understand (if it's not already the case), what makes a good movie.	positive	positive
Of course this came out right at the beginning of the 1980s. Of course it did. Those drama students dancing in the street to Irene Cara's famous theme song, it's an indelible eighties leg-warmer style image. But there's more to the film than that. There's deprivation, and one man's struggle to learn to read, and a struggle with sexuality, and an attack on a child, and one girl tricked into taking topless photographs, and contemplation of suicide. In the end, though, it is also about that song.	positive	positive
A quite easy to watch tale of 2 thieves, with that love/hate type relationship between them. Chrisopher Walken stars and is very good as the silent rogue with a scam bigger than he's letting on.	positive	positive
Great film from the late 1970's. Says much about corporate corruption at the expense of the common person, so that the powerful can gain gain huge profits and disregard the environment and safety of others.<br /><br />Nearly 30 years later this film is compelling about the power of certain corporate entities that since the films release have gained ten fold in their ability to control; It shows the need for regulation of the public against powerful business interests whose primary goal is profit.<br /><br />Jack Lemmon is brilliant- while Jane Fonda and Micheal Douglas are as equally compelling in their roles. The frivolous 70s where damned for much, this film redeems the decade.<br /><br />A film that becomes better after each watching.	positive	positive
I am a 20 year old bloke from England. I don't cry at films. But this one moved me. I cried like a girl! This is absolutely the most moving film I have ever seen, even though the story was questionable. Joseph Mazello's little face when he dreams of crying made me sob every time. How could anyone hurt such a sweet looking kid? I'm going to cry now just thinking about it! Remarkable.	positive	positive
An excellent 'sleeper' of a movie about the search for Carlos the international assassin. Am surprised this film didn't rake in $100-million-plus because it's much better than most films that do so. Rent it NOW.	positive	positive
Several stowaways get on a Russian ship bound for France. They were going to get off there and make new lives for themselves. After being discovered by the First Mate and his henchmen, they were held captive. Then things got very bad for them. Good show based on a true story.	positive	positive
My wife and I have watched this movie twice. Both of us used to be in the Military. Besides being funny as hell, it offers a very realistic view of life in the Navy from the perspective of A Navy enlisted man, and tells it 'like it really is'. We're adding this movie to our permanent collection !	positive	positive
